X;Y;OBJECTID;RELI;B14BTOT;Count_;IPTA
532100;184500;164199;53211845;24;1;0
562500;185700;345;56251857;23;0;0
535100;152700;328055;53511527;11;1;0
554600;146700;196972;55461467;106;5;0
563400;129700;347;56341297;126;5;0
548700;160800;229745;54871608;79;1;0
563400;133500;348;56341335;4;1;0
562900;129200;349;56291292;55;2;0
512300;144200;262518;51231442;8;0;0
561000;146800;196976;56101468;5;0;0
559600;142800;328061;55961428;42;20;0
522300;156200;196979;52231562;6;3;1
538300;181700;295293;53831817;191;1;0
573700;133400;262523;57371334;3;1;0
538400;181200;196982;53841812;221;3;0
564300;192400;356;56431924;3;1;0
554400;158600;164213;55441586;12;1;0
581900;148600;98671;58191486;5;1;0
536600;180700;229758;53661807;8;1;0
524100;155500;262531;52411555;28;1;0
540700;180800;229760;54071808;27;0;0
553600;145900;164219;55361459;6;4;1
566200;128100;364;56621281;5;1;0
561000;146400;262533;56101464;3;1;0
505800;160400;164223;50581604;3;1;0
505100;140900;262537;50511409;8;1;0
549600;158000;164225;54961580;3;2;1
566300;131700;370;56631317;4;3;1
562200;191900;328082;56221919;11;0;0
558500;135000;295311;55851350;3;1;0
556000;145900;229770;55601459;8;1;0
537500;155000;196999;53751550;370;0;0
538400;155500;197001;53841555;24;0;0
506400;143600;295314;50641436;12;1;0
537800;152500;295315;53781525;18;16;1
529200;167900;262544;52921679;120;2;0
570900;126800;164232;57091268;3;2;1
567200;121500;380;56721215;25;0;0
567300;196300;381;56731963;9;0;0
517300;150400;229779;51731504;12;0;0
567100;122000;382;56711220;78;1;0
524600;185900;295323;52461859;3;0;0
511400;151800;229783;51141518;4;1;0
501600;133000;229787;50161330;8;1;0
530200;162200;295329;53021622;65;1;0
555800;144800;197017;55581448;67;3;0
509200;150100;328101;50921501;9;0;0
517100;173200;164247;51711732;3;0;0
569000;192300;393;56901923;10;0;0
505600;136200;229791;50561362;19;0;0
509500;163000;328105;50951630;6;1;0
506900;148400;229792;50691484;3;0;0
527200;152500;229793;52721525;7;0;0
525100;148900;164253;52511489;3;1;0
549500;163900;295337;54951639;14;0;0
570300;146500;402;57031465;10;1;0
570000;133400;404;57001334;3;0;0
541900;156500;328114;54191565;56;1;0
507000;147000;197030;50701470;9;0;0
552000;153500;164260;55201535;7;0;0
569700;192400;405;56971924;3;2;1
569900;191400;406;56991914;6;0;0
569900;124600;407;56991246;3;2;1
553300;154900;262576;55331549;3;0;0
557900;147200;164267;55791472;7;1;0
570400;191600;412;57041916;3;0;0
541600;164600;229809;54161646;10;1;0
554600;147600;328122;55461476;26;1;0
515200;145900;262581;51521459;26;2;0
571000;199400;413;57101994;23;0;0
518400;161400;197040;51841614;36;1;0
571000;128900;415;57101289;4;0;0
538300;167500;262585;53831675;21;0;0
571100;126600;417;57111266;6;3;1
570800;198600;418;57081986;5;1;0
577800;147500;229816;57781475;8;0;0
537300;162800;164277;53731628;8;1;0
541700;150800;197049;54171508;11;1;0
