"","OBJECTID","RELI","x_coor","y_coor","B14BTOT","Count_","IPTA"
"395",238,55091686,550900,168600,115,3,0.02609
"396",98552,57111285,571100,128500,3,1,0.33333
"397",196865,54741787,547400,178700,7,0,0
"398",239,55031476,550300,147600,4,0,0
"399",327950,52591857,525900,185700,8,3,0.375
"400",98554,57111247,571100,124700,14,1,0.07143
"401",295180,55081538,550800,153800,3,0,0
"402",327953,53341609,533400,160900,5,0,0
"403",244,55131696,551300,169600,23,0,0
"404",245,55181674,551800,167400,7,1,0.14286
"405",98558,57111263,571100,126300,4,2,0.5
"406",246,55101555,551000,155500,12,0,0
"407",247,55231478,552300,147800,4,0,0
"408",249,55251479,552500,147900,3,0,0
"409",262418,50351408,503500,140800,23,0,0
"410",251,55311480,553100,148000,6,1,0.16667
"411",196879,50881414,508800,141400,3,0,0
"412",253,55341475,553400,147500,12,2,0.16667
"413",254,55301482,553000,148200,13,0,0
"414",327964,53021627,530200,162700,21,1,0.04762
"415",98568,57211263,572100,126300,3,0,0
"416",295194,56961246,569600,124600,3,1,0.33333
"417",164110,53731599,537300,159900,9,0,0
"418",327967,54321507,543200,150700,5,1,0.2
"419",260,55441454,554400,145400,257,9,0.03502
"420",164115,52851688,528500,168800,6,1,0.16667
"421",196887,56181449,561800,144900,18,1,0.05556
"422",98575,57301373,573000,137300,3,1,0.33333
"423",262,55431731,554300,173100,9,3,0.33333
"424",327974,55781513,557800,151300,3,0,0
"425",327975,57051271,570500,127100,42,5,0.11905
"426",295206,50241316,502400,131600,45,0,0
"427",98580,57391227,573900,122700,4,0,0
"428",268,55561453,555600,145300,69,3,0.04348
"429",269,55601455,556000,145500,14,3,0.21429
"430",262437,54261506,542600,150600,28,2,0.07143
"431",98584,57391387,573900,138700,4,0,0
"432",327982,52521771,525200,177100,7,0,0
"433",262440,54231527,542300,152700,38,3,0.07895
"434",327983,55081684,550800,168400,170,0,0
"435",164129,53521527,535200,152700,4,1,0.25
"436",98588,57431449,574300,144900,5,0,0
"437",196901,54031549,540300,154900,3,2,0.66667
"438",262445,53581705,535800,170500,4,0,0
"439",164134,53441538,534400,153800,62,2,0.03226
"440",295218,57151232,571500,123200,3,1,0.33333
"441",98593,57471453,574700,145300,6,0,0
"442",164135,50671383,506700,138300,99,1,0.0101
"443",281,55661449,556600,144900,6,0,0
"444",262449,56751974,567500,197400,11,1,0.09091
"445",262450,50211345,502100,134500,35,0,0
"446",164138,53011536,530100,153600,15,0,0
"447",229681,53741770,537400,177000,5,1,0.2
"448",285,55681461,556800,146100,11,0,0
"449",288,55751466,557500,146600,43,2,0.04651
"450",289,55771794,557700,179400,9,0,0
"451",295229,54241616,542400,161600,19,0,0
"452",98607,57591465,575900,146500,8,1,0.125
"453",294,55841454,558400,145400,3,1,0.33333
"454",196922,53171576,531700,157600,15,1,0.06667
"455",297,55811333,558100,133300,21,1,0.04762
