"","X","Y","Numero","Nom","MoyenTrans","Altitude","NumeroComm","NomCommune","y_Coord_Es","x_Coord_No","WGSlong","WGSlat"
"1152",530452,158837,8593782,"Vufflens-la-Ville, gare","Bus",409,5503,"Vufflens-la-Ville",530452,158837,6.531342501493,46.5771863957971
"1153",574947,133562,8501476,"Les Aviolats","CheminFer",1091,5411,"Ormont-Dessus",574947,133562,7.11316072108832,46.3529711548586
"1154",509785,165210,8501154,"Les Esserts-de-Rive","CheminFer",1040,5873,"Le Lieu",509785,165210,6.26051715824163,46.6320402288217
"1155",536967,151471,8591989,"Lausanne, Bellerive","Bus",377,5586,"Lausanne",536967,151471,6.61733361825195,46.5115742350337
"1156",543928,171296,8582403,"Bercher, 7 Fontaines","Bus",636,5512,"Bercher",543928,171296,6.70561516746361,46.6905226367166
"1157",566288,130761,8501179,"Pont-de-Drapel","CheminFer",616,5401,"Aigle",566288,130761,7.00087220102965,46.3273960110504
"1158",530807,159122,8593780,"Vufflens-la-Ville, Cuvillard","Bus",438,5503,"Vufflens-la-Ville",530807,159122,6.53593050451426,46.5797867884748
"1159",560265,177148,8570476,"Villarzel, Le Cachet","Bus",657,5830,"Villarzel",560265,177148,6.9186722561306,46.7443356357377
"1160",533051,157027,8588846,"Villars-Ste-Croix, Croix P?age","Bus",479,5651,"Villars-Sainte-Croix",533051,157027,6.56550783303624,46.5611706128508
"1161",560085,174681,8570485,"Villars-Bramard, Farzin","Bus",786,5831,"Valbroye",560085,174681,6.91653165097817,46.7221335469552
"1162",534307,186201,8570262,"Vugelles, crois?e","Bus",521,5937,"Vugelles-La Mothe",534307,186201,6.57771275272502,46.8237141039147
"1163",570908,126998,8501447,"Roches Grises","CheminFer",1302,5409,"Ollon",570908,126998,7.06109892850556,46.2937618409544
"1164",575858,142943,8501345,"Devant-de-l'Etivaz","Bus",1093,5841,"Ch?teau-d'Oex",575858,142943,7.12450808657517,46.4373917660888
"1165",536075,158080,8501168,"Vernand-Camar?s","CheminFer",598,5586,"Lausanne",536075,158080,6.60479697853308,46.5709382162158
"1166",546600,165575,8570346,"Peney-le-Jorat, Moulin Peney","Bus",729,5804,"Jorat-Menthue",546600,165575,6.74120865721153,46.6392803878153
"1167",538623,151049,8592029,"Lausanne, Denantou","Bus",394,5586,"Lausanne",538623,151049,6.63896536562687,46.5079321216006
"1168",560780,137564,8595185,"Villeneuve VD, industrie","Bus",374,5414,"Villeneuve (VD)",560780,137564,6.92877646494125,46.3882929845404
"1169",570755,202646,8581750,"Cudrefin, La Sauge","Bus",433,5456,"Cudrefin",570755,202646,7.0543059399445,46.9742383034289
"1170",560770,140931,8594007,"Veytaux, gare","Bus",393,5891,"Veytaux",560770,140931,6.92836188782116,46.4185800177482
"1171",554193,145879,8579174,"Vevey, gare","Bus",382,5890,"Vevey",554193,145879,6.84232714883729,46.4626721773316
"1172",522600,168950,8570153,"La Praz, Maison de commune","Bus",873,5758,"La Praz",522600,168950,6.42721892788536,46.6672882968512
"1173",559580,142887,8501380,"Montreux-Coll?ge","CheminFer",426,5886,"Montreux",559580,142887,6.91271320678472,46.4361044078786
"1174",549647,150152,8570569,"Puidoux, village","Bus",659,5607,"Puidoux",549647,150152,6.78268560305141,46.5007829859924
"1175",530998,153269,8501049,"Lausanne-Triage","CheminFer",395,5632,"Denges",530998,153269,6.53929720717291,46.5271587886891
"1176",566625,132640,8595109,"Leysin, Grand H?tel (virage)","Bus",1433,5407,"Leysin",566625,132640,7.0051134335959,46.3443153349796
"1177",567564,132874,8570631,"Leysin, t?l?cabine Berneuse","Bus",1312,5407,"Leysin",567564,132874,7.01729399269645,46.3464662771774
"1178",541082,150789,8592168,"Paudex, Verri?re","Bus",384,5588,"Paudex",541082,150789,6.67103433586055,46.505814235245
"1179",554992,146845,8501260,"Gilamont","CheminFer",436,5890,"Vevey",554992,146845,6.85263414355432,46.4714158314096
"1180",560470,142520,8501230,"Glion-Alpes","CheminFerCremaillere",694,5886,"Montreux",560470,142520,6.92432437581518,46.4328561412541
"1181",533347,156212,8591936,"Crissier, Closalet","Bus",448,5583,"Crissier",533347,156212,6.56948558090394,46.5538692128891
"1182",537330,162760,8501172,"Assens","CheminFer",625,5511,"Assens",537330,162760,6.62052963537561,46.6131539772907
"1183",576562,133629,8501477,"Vers-l'Eglise","CheminFer",1136,5411,"Ormont-Dessus",576562,133629,7.13413842355193,46.3536321581459
"1184",538916,188975,8581511,"Romairon, coll?ge","Bus",782,5571,"T?venon",538916,188975,6.63773960254183,46.8491047596572
"1185",570847,134418,8570624,"Le S?pey, La Combaz","Bus",1041,5410,"Ormont-Dessous",570847,134418,7.05984261189814,46.3605058603107
"1186",545720,193580,8570287,"Provence, village","Bus",780,5566,"Provence",545720,193580,6.72639653356587,46.8911162536635
"1187",571029,126718,8501494,"Arveyes","CheminFer",1231,5409,"Ollon",571029,126718,7.06268657233318,46.291248325887
"1188",566365,132210,8595106,"Leysin, American School","Bus",1358,5407,"Leysin",566365,132210,7.00176732946153,46.3404343118091
"1189",533358,153861,8501217,"Chavannes-pr?s-Renens, Crochy","Metro",403,5627,"Chavannes-pr?s-Renens",533358,153861,6.56996835837934,46.5327229598505
"1190",536180,159570,8501169,"Cheseaux","CheminFer",607,5582,"Cheseaux-sur-Lausanne",536180,159570,6.60596027421822,46.584350904111
"1191",537130,153913,8592057,"Lausanne, Grey","Bus",575,5586,"Lausanne",537130,153913,6.61912503668992,46.5335556234077
"1192",501784,144942,8501062,"St-Cergue","CheminFer",1047,5727,"Saint-Cergue",501784,144942,6.16036149587434,46.4486135463198
"1193",534119,166169,8570187,"Oulens-sous-Echallens, coll?ge","Bus",587,5529,"Oulens-sous-Echallens",534119,166169,6.57812786611349,46.6435091799929
"1194",562858,142760,8501365,"Cr?t-d'y-Bau","CheminFerCremaillere",1280,5886,"Montreux",562858,142760,6.9553738690667,46.4351515595635
"1195",505262,141007,8501068,"Tr?lex","CheminFer",501,5730,"Tr?lex",505262,141007,6.20642395872356,46.4137207173914
"1196",561055,186387,8583707,"Payerne, Champ Aubert","Bus",448,5822,"Payerne",561055,186387,6.9282234462382,46.8274891587992
"1197",561200,185450,8570399,"Payerne, crois?e de Cugy","Bus",449,5822,"Payerne",561200,185450,6.9302033242896,46.8190691342643
"1198",522850,158907,8501097,"Pampigny-S?very","CheminFer",628,5494,"Pampigny",522850,158907,6.43216863121432,46.5769823062727
"1199",506113,144621,8501058,"La Joy-Clinique","CheminFer",668,5718,"Genolier",506113,144621,6.21675878413324,46.4463465881174
"1200",557994,146482,8501266,"Ch?teau-de-Blonay","CheminFer",605,5881,"Blonay",557994,146482,6.89175171657442,46.468345399512
"1201",534082,154287,8588983,"Renens VD, gare sud","Bus",413,5591,"Renens (VD)",534082,154287,6.57934402543675,46.5366265461396
