"","X","Y","OBJECTID","RELI","B14BTOT","Count_","IPTA","WGSlong","WGSlat"
"27733",507900,162900,95625,50791629,6,2,0,6.23636692556498,46.611005735056
"27734",527600,151400,292251,52761514,144,3,0,6.49530628733329,46.5099883402936
"27735",508200,149200,95627,50821492,5,0,0,6.24300744695862,46.4878217597001
"27736",507800,138000,95628,50781380,68,4,0,6.24002662388959,46.3870277043513
"27737",508600,142700,95630,50861427,24,1,0,6.24949922164399,46.4294116827959
"27738",569300,197300,161173,56931973,4,3,1,7.0355458083939,46.9260849087232
"27739",508100,138300,95631,50811383,3,0,0,6.24386666639596,46.3897672238195
"27740",538600,152000,193945,53861520,21,4,0,6.63853939936433,46.516484389948
"27741",511100,144800,95632,51111448,3,1,0,6.28161719386449,46.4486365058125
"27742",508500,139300,161174,50851393,102,0,0,6.24886905465916,46.398816464085
"27743",509500,152300,95633,50951523,13,0,0,6.25932964294098,46.5158818853061
"27744",509000,140900,95634,50901409,18,0,0,6.25505573096187,46.4132758127963
"27745",510200,141400,95636,51021414,106,1,0,6.27056424090902,46.4179348406846
"27746",515000,169200,95637,51501692,11,2,0,6.32787300030378,46.6686126787018
"27747",511500,142200,95638,51151422,8,0,0,6.28731883017291,46.4253033460965
"27748",562100,142700,325035,56211427,10,2,0,6.94551651779938,46.4345694213345
"27749",525500,149600,226723,52551496,6,0,0,6.46823727347361,46.493567140042
"27750",544400,150000,193952,54441500,10,1,0,6.71435463019794,46.4990006906653
"27751",514800,169300,95639,51481693,4,3,1,6.32524124697639,46.6694866484288
"27752",514900,145300,95640,51491453,181,1,0,6.33097495075533,46.4536270303318
"27753",511600,144700,95641,51161447,59,0,0,6.28814274995011,46.4478031615863
"27754",518500,149300,95642,51851493,4,1,0,6.37712239165233,46.4900535710537
"27755",560000,142100,161184,56001421,21,4,0,6.91824576209489,46.4290501943863
"27756",517800,149400,95643,51781494,5,0,0,6.36798845700272,46.4908675159313
"27757",545500,177700,259498,54551777,10,1,0,6.72540369285116,46.7482575579867
"27758",564300,129400,193957,56431294,9,3,0,6.9751621091464,46.3150505171921
"27759",517900,148400,95644,51791484,21,0,0,6.36946824444354,46.4818850037532
"27760",515200,145300,95645,51521453,3,1,0,6.3348792296492,46.4536650501163
"27761",535700,154600,259501,53571546,39,2,0,6.60039070979587,46.5395994035581
"27762",515300,145500,95646,51531455,68,1,0,6.33614408454497,46.4554766391891
"27763",518300,148500,95647,51831485,4,0,0,6.37465904528562,46.4828333804788
"27764",521500,149300,95648,52151493,3,1,0,6.41619199372811,46.4904118533337
"27765",544900,188800,161191,54491888,3,0,0,6.7162147870036,46.8480530116304
"27766",519300,151300,95649,51931513,49,1,0,6.38719187234126,46.508140029014
"27767",519900,149000,95650,51991490,3,0,0,6.39540675246673,46.4875239966839
"27768",521100,163700,95651,52111637,5,1,0,6.40852061895976,46.6198901973954
"27769",522300,147200,95652,52231472,41,1,0,6.42696325529494,46.4716159103127
"27770",523000,154000,95653,52301540,4,1,0,6.43494402291,46.5328618447328
"27771",524000,152000,95654,52401520,25,0,0,6.44830659000889,46.5149863662044
"27772",522000,162000,95655,52201620,4,0,0,6.42055762028889,46.6047046830733
"27773",521600,152200,95656,52161522,3,0,0,6.41700258102439,46.5165086164239
"27774",533700,154600,292283,53371546,16,3,0,6.57431982075518,46.5394042663927
"27775",522100,153000,95657,52211530,16,1,0,6.42338249935556,46.5237628574655
"27776",564800,192600,193970,56481926,14,0,0,6.9768251366486,46.8835847547455
"27777",523600,147300,95658,52361473,3,0,0,6.44387123108751,46.4726648778246
"27778",522900,152400,95659,52291524,3,1,0,6.43390769551384,46.5184585515785
"27779",565700,127000,259514,56571270,20,2,0,6.99351389423068,46.2935343183981
"27780",523700,156500,95660,52371565,3,0,0,6.44365433170815,46.5554291856793
"27781",524800,152200,95661,52481522,16,0,0,6.4586974775888,46.5168756744668
