X,Y,field_1,OBJECTID,RELI,B14BTOT,Count_,IPTA
6.876243,46.464833,448,285,55681461,11,0,0
6.88531,46.469376,449,288,55751466,43,2,0
6.8849,46.764435,450,289,55771794,9,0,0
6.686855,46.603176,451,295229,54241616,19,0,0
7.12487,46.46939,452,98607,57591465,8,1,0
6.897135,46.458638,453,294,55841454,3,1,0
6.547805,46.566188,454,196922,53171576,15,1,0
6.894322,46.349775,455,297,55811333,21,1,0
6.892754,46.764473,456,298,55831794,4,0,0
7.124214,46.357842,457,98611,57581341,3,1,0
6.230728,46.395926,458,196924,50711390,3,1,0
7.127442,46.474795,459,98612,57611471,19,1,0
6.59397,46.616918,460,164154,53531632,16,0,0
6.882484,46.490952,461,328011,55731490,5,0,0
6.568267,46.591536,462,328015,53331604,18,0,0
6.922166,46.427269,463,305,56031419,34,28,1
6.857275,46.776892,464,164161,55561808,8,1,0
6.497655,46.824873,465,229703,52821864,72,2,0
6.274717,46.406282,466,295245,51051401,5,0,0
6.73453,46.550404,467,164162,54601557,18,0,0
6.996175,46.285449,468,229704,56591261,24,1,0
7.134623,46.355172,469,98620,57661338,4,3,1
6.40687,46.501123,470,295248,52081505,124,1,0
6.614976,46.523513,471,196936,53681528,4,3,1
6.516044,46.516456,472,295249,52921521,78,1,0
6.726884,46.536863,473,164166,54541542,15,0,0
7.122255,46.471182,474,196939,57571467,21,0,0
6.927666,46.395808,475,314,56071384,4,3,1
6.735607,46.668258,476,229712,54621688,30,1,0
6.634668,46.777341,477,196941,53861810,132,1,0
6.933522,46.465102,478,315,56121461,3,0,0
6.929749,46.867193,479,320,56121908,6,0,0
6.199411,46.457665,480,196949,50481459,6,0,0
6.25694,46.505961,481,229720,50931512,3,0,0
6.936743,46.820447,482,325,56171856,19,1,0
6.935449,46.818643,483,326,56161854,231,1,0
6.56143,46.530309,484,295265,53271536,22,1,0
6.166782,46.350243,485,328037,50211340,3,0,0
6.936112,46.74758,486,328,56161775,3,0,0
7.105002,46.312809,487,262496,57431291,3,0,0
7.062423,46.274893,488,196954,57101249,12,2,0
6.285024,46.655592,489,196956,51171678,3,0,0
6.932778,46.824028,490,330,56141860,7,0,0
6.937527,46.454325,491,332,56151449,3,1,0
7.024638,46.296351,492,295274,56811273,9,0,0
7.067588,46.278509,493,196961,57141253,3,2,1
6.646042,46.538127,494,196964,53921544,9,1,0
6.871149,46.454013,495,262508,55641449,31,1,0
6.697466,46.781364,496,229739,54341814,11,1,0
6.949444,46.431888,497,342,56241424,3,2,1
6.633909,46.56503,498,196969,53831574,15,1,0
6.549045,46.808193,499,164199,53211845,24,1,0
6.947218,46.821392,500,345,56251857,23,0,0
6.592836,46.522451,501,328055,53511527,11,1,0
6.847545,46.470085,502,196972,55461467,106,5,0
6.963455,46.317701,503,347,56341297,126,5,0
6.769166,46.596493,504,229745,54871608,79,1,0
6.963156,46.351883,505,348,56341335,4,1,0
6.957003,46.313176,506,349,56291292,55,2,0
6.297346,46.443398,507,262518,51231442,8,0,0
6.93086,46.471388,508,196976,56101468,5,0,0
6.912981,46.435323,509,328061,55961428,42,20,0
6.42545,46.55257,510,196979,52231562,6,3,1
6.630646,46.78361,511,295293,53831817,191,1,0
7.09697,46.351466,512,262523,57371334,3,1,0
6.632022,46.779122,513,196982,53841812,221,3,0
6.970281,46.881759,514,356,56431924,3,1,0
6.843767,46.577116,515,164213,55441586,12,1,0
7.202903,46.48847,516,98671,58191486,5,1,0
6.608523,46.774455,517,229758,53661807,8,1,0
6.449034,46.54648,518,262531,52411555,28,1,0
6.662189,46.775732,519,229760,54071808,27,0,0
6.834606,46.46282,520,164219,55361459,6,4,1
6.999923,46.303455,521,364,56621281,5,1,0
6.930893,46.467789,522,262533,56101464,3,1,0
6.209469,46.588227,523,164223,50581604,3,1,0
6.204339,46.412735,524,262537,50511409,8,1,0
6.781217,46.571374,525,164225,54961580,3,2,1
7.00096,46.335843,526,370,56631317,4,3,1
6.942773,46.877145,527,328082,56221919,11,0,0
6.899366,46.365092,528,295311,55851350,3,1,0
6.865848,46.462982,529,229770,55601459,8,1,0
6.623801,46.543368,530,196999,53751550,370,0,0
6.635467,46.547949,531,197001,53841555,24,0,0
6.2207,46.437203,532,295314,50641436,12,1,0
6.628048,46.520908,533,295315,53781525,18,16,1
6.513617,46.658576,534,262544,52921679,120,2,0
7.061007,46.29198,535,164232,57091268,3,2,1
7.013366,46.244134,536,380,56721215,25,0,0
7.009358,46.916994,537,381,56731963,9,0,0
6.361298,46.499801,538,229779,51731504,12,0,0
7.012034,46.248627,539,382,56711220,78,1,0
6.450562,46.819978,540,295323,52461859,3,0,0
6.284181,46.511639,541,229783,51141518,4,1,0
6.160499,46.341175,542,229787,50161330,8,1,0
