x;y;object_id;reli;b14btot;count
6.565454;46.604109;285636;53311618;4;1
6.558318;46.801967;252867;53281838;9;1
7.106019;46.35869;56241;57441342;3;0
6.490001;46.515342;220096;52721520;22;3
6.847388;46.484478;285640;55461483;10;1
6.474685;46.497221;285642;52601500;88;1
6.627913;46.529903;220100;53781535;163;4
7.115783;46.464867;56245;57521460;22;1
7.025118;46.916153;220101;56851962;18;1
6.131321;46.312052;187331;49931298;5;0
7.118349;46.471171;56248;57541467;6;0
6.234172;46.475133;285647;50751478;17;0
6.338443;46.534668;318422;51561543;21;1
6.658921;46.549012;220111;54021556;6;1
6.322981;46.462545;220112;51431463;8;3
6.841114;46.462855;252885;55411459;4;2
6.945704;46.41388;154572;56211404;3;0
6.608184;46.541456;154573;53631548;7;4
6.299646;46.457815;252887;51251458;46;1
6.415649;46.519195;220117;52151525;3;0
6.7833;46.722517;318431;54991748;3;1
7.14175;46.477532;56267;57721474;32;1
6.692025;46.51235;318437;54271515;33;2
7.140725;46.427153;285670;57711418;3;0
7.152831;46.351621;56273;57801334;29;2
7.152817;46.354319;56278;57801337;6;2
6.44829;46.515886;285676;52401521;31;1
7.152789;46.359717;56279;57801343;3;0
6.701353;46.497118;285677;54341498;3;1
6.61009;46.58735;220139;53651599;20;1
6.201066;46.32813;154599;50471315;3;0
6.225849;46.381479;318455;50671374;3;2
6.173339;46.403397;285684;50271399;3;0
6.526454;46.672174;285685;53021694;5;0
6.878819;46.467545;220144;55701464;24;2
7.168952;46.506386;56291;57931506;3;0
6.77804;46.511083;187377;54931513;3;0
6.62688;46.511904;318463;53771515;188;4
6.172711;46.31882;252921;50251305;40;0
6.721363;46.855282;252925;54531896;3;3
6.46071;46.694119;252926;52521719;30;3
6.248849;46.399716;318468;50851394;20;0
6.720465;46.627682;285699;54501643;3;0
7.020973;46.266652;187386;56781240;12;0
7.182001;46.501918;56303;58031501;3;0
6.700876;46.532199;154619;54341537;3;0
6.347657;46.530259;220163;51631538;4;1
6.400357;46.501064;154625;52031505;12;1
6.332111;46.461735;220170;51501462;10;1
6.496593;46.510899;154628;52771515;124;3
6.666538;46.837833;220172;54111877;8;1
6.741635;46.606223;285719;54661619;27;1
7.210729;46.485787;56323;58251483;5;1
6.695428;46.549256;285722;54301556;40;0
6.886208;46.508962;252956;55761510;5;0
7.004212;46.253995;154644;56651226;117;4
6.864731;46.69147;220187;55611713;8;1
6.923782;46.393992;318504;56041382;40;2
6.226306;46.41927;220192;50681416;6;0
6.536532;46.538211;187422;53081545;21;0
6.562515;46.543812;187424;53281551;3;0
6.512163;46.819594;252967;52931858;56;0
