X,Y,X_1,Y_1,NUMERO,NOM,MOYEN_TRAN,ALTITUDE,NUMERO_COM,NOM_COMMUN,buff100_SU,buff250_SU,buff500_SU,buff1000_S
6.707278,46.495339,6.7072780000,46.4953390000,8501123,Villette VD,Bus_CheminFer,387,5613,Bourg-en-Lavaux,6,170,417,1427
6.42221,46.55084,6.4222100000,46.5508400000,8519321,Apples ouest (bif),CheminFer,639,5421,Apples,4,53,476,980
6.791261,46.65315,6.7912610000,46.6531500000,8504019,Bressonnaz,CheminFer,533,5678,Moudon,9,9,54,169
6.843728,46.546179,6.8437280000,46.5461790000,8515350,Palézieux Est (bif),CheminFer,671,5805,Oron,,3,248,904
7.027638,46.254838,7.0276380000,46.2548380000,8530067,Les Salines,CheminFer,458,5402,Bex,12,71,199,1294
7.074597,46.908234,7.0745970000,46.9082340000,8504127,Faoug,CheminFer,434,5458,Faoug,7,187,615,774
6.306356,46.445071,6.3063560000,46.4450710000,8501032,Gilly-Bursinel,CheminFer,429,5852,Bursinel,88,189,285,450
6.630343,46.520799,6.6303430000,46.5207990000,8501181,Lausanne-Flon,Metro_CheminFer,479,5586,Lausanne,135,1574,7440,35494
6.895771,46.442736,6.8957710000,46.4427360000,8501203,Clarens,Bus_CheminFer,400,5886,Montreux,247,2324,5409,10464
6.907632,46.469977,6.9076320000,46.4699770000,8501285,Fayaux,CheminFer,970,5881,Blonay,3,22,84,1510
7.055266,46.355345,7.0552660000,46.3553450000,8501473,Les Planches (Aigle),CheminFer,943,5410,Ormont-Dessous,,8,65,394
6.609852,46.534721,6.6098520000,46.5347210000,8501162,Union-Prilly,CheminFer,508,5589,Prilly,806,3014,10728,28558
6.96047,46.828339,6.9604700000,46.8283390000,8504039,Bossy Bois (embr),CheminFer,454,5816,Corcelles-près-Payerne,67,383,1070,2129
6.473178,46.524808,6.4731780000,46.5248080000,8501091,Vufflens-le-Château,Bus_CheminFer,471,5653,Vufflens-le-Château,57,164,488,1461
